Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"357149671275",Sisters of the Last Straw Set | 9781505132939 | NEW | FREE SHIPPING,,Tanbooks,"1","FIXED_PRICE","USD",64.0,,,64.0,"2","0","","Jun-20-25 19:39:11 PDT","Sep-20-25 19:39:11 PDT","Books","261186","","","Brand New","","","","","","US","","","9781505132939"
"357149759318",A Manual of Prayers - For the Use of the Catholic Laity | 9781505128338 | NEW,,Tanbooks,"2","FIXED_PRICE","USD",48.0,,,48.0,"1","0","","Jun-20-25 19:59:07 PDT","Sep-20-25 19:59:07 PDT","Books","261186","","","Brand New","","","","","13064881334","US","","","9781505128338"
"357161159921",Douay-Rheims Bible Leather | 9781935302032 | NEW | FREE SHIPPING,,Tanbooks,"1","FIXED_PRICE","USD",42.0,,,42.0,"0","2","","Jun-22-25 19:42:05 PDT","Sep-22-25 19:42:05 PDT","Books","261186","","","Brand New","","","","","","US","","","9781935302032"
"357167123233",Douay-Rheims Bible (Deluxe Leatherette) | 9781935302025 | NEW | FREE SHIPPING,,Tanbooks,"1","FIXED_PRICE","USD",40.0,,,40.0,"0","1","","Jun-24-25 00:02:21 PDT","Sep-24-25 00:02:21 PDT","Books","261186","","","Brand New","","","","","84545049","US","","","9781935302025"
"357452926676",NEW Harry Potter Books 1-7 Special Edition Boxed Set; 9781338218398 | FREESHIP,,Scholastic,"1","FIXED_PRICE","USD",68.0,,,68.0,"0","","","Aug-12-25 23:48:00 PDT","Sep-12-25 23:48:00 PDT","Books","261186","","","Brand New","","","","","242388211","US","","","9781338218398"
"357452945773",Harry Potter Paperback Boxed Set 1-7 By J. K. Rowling; 9780545162074 | FREESHIP,,Scholastic,"1","FIXED_PRICE","USD",63.0,,,63.0,"0","","","Aug-12-25 23:51:19 PDT","Sep-12-25 23:51:19 PDT","Books","261186","","","Brand New","","","","","","US","","","9780545162074"
"357452963878",Special Edition Harry Potter Paperback Box Set (1-7) By J. K. Rowling | FREESHIP,,Scholastic,"1","FIXED_PRICE","USD",63.0,,,63.0,"0","2","","Aug-12-25 23:55:03 PDT","Sep-12-25 23:55:03 PDT","Books","261186","","","Brand New","","","","","20069201180","US","","","9780545596275"
"357452990090",NEW Library Builders-Scholastic Gold Collection-10 Books; 9798225001032|FREESHIP,,Scholastic,"1","FIXED_PRICE","USD",58.0,,,58.0,"0","","","Aug-13-25 00:01:02 PDT","Sep-13-25 00:01:02 PDT","Books","261186","","","Brand New","","","","","","US","","","9798225001032"
"357452997956","NEW Who Would Win? Mega Collection, Pack of 22, 9781338672817 | FREESHIP",,Scholastic,"1","FIXED_PRICE","USD",59.0,,,59.0,"0","","","Aug-13-25 00:06:00 PDT","Sep-13-25 00:06:00 PDT","Books","261186","","","Brand New","","","","","","US","","","9781338672817"
"357453007791","NEW Captain Underpants Starter Pack 4 Books with Plush, 9781339042350 | FREESHIP",,Scholastic,"1","FIXED_PRICE","USD",47.0,,,47.0,"0","","","Aug-13-25 00:10:40 PDT","Sep-13-25 00:10:40 PDT","Books","261186","","","Brand New","","","","","","US","","","9781339042350"
"357453012929","NEW Cat Kid Starter Pack 4 Books with Plush, 9781339042367 | FREESHIP",,Scholastic,"1","FIXED_PRICE","USD",44.0,,,44.0,"0","","","Aug-13-25 00:14:51 PDT","Sep-13-25 00:14:51 PDT","Books","261186","","","Brand New","","","","","","US","","","9781339042367"
"357453018727","NEW Cat Kid Comic Club 1-5 Pack By Dav Pilkey, 9781546133155 | FREESHIP",,Scholastic,"1","FIXED_PRICE","USD",43.0,,,43.0,"0","","","Aug-13-25 00:18:37 PDT","Sep-13-25 00:18:37 PDT","Comics & Graphic Novels","259104","","","Brand New","","","","","","US","","",""
"357453022671","NEW The Hunger Games 4-Book Paperback Box Set By Suzanne Collins, 9781339042657",,Scholastic,"1","FIXED_PRICE","USD",41.0,,,41.0,"0","","","Aug-13-25 00:22:07 PDT","Sep-13-25 00:22:07 PDT","Books","261186","","","Brand New","","","","","14060616728","US","","","9781339042657"
"357453031531","NEW Heartstopper 1-4 Box Set By By Alice Oseman, 9781338890563 | FREESHIP",,Scholastic,"1","FIXED_PRICE","USD",41.0,,,41.0,"0","","","Aug-13-25 00:25:50 PDT","Sep-13-25 00:25:50 PDT","Books","261186","","","Brand New","","","","","15057259876","US","","","9781338890563"
"357453070512","NEW Dr. Seuss's Second Beginner Book Collection, 9780375871283 | FREESHIP",,Scholastic,"1","FIXED_PRICE","USD",41.0,,,41.0,"0","","","Aug-13-25 00:30:24 PDT","Sep-13-25 00:30:24 PDT","Books","261186","","","Brand New","","","","","99526063","US","","","9780375871283"
"357453104012","NEW Stillwater and Friends Picture Book Collection 6 Books, 9781339042220",,Scholastic,"1","FIXED_PRICE","USD",78.0,,,78.0,"0","","","Aug-13-25 00:33:51 PDT","Sep-13-25 00:33:51 PDT","Books","261186","","","Brand New","","","","","","US","","","9781339042220"
"357453114271","NEW Library Builders-Animal All Star Picture Books, 9798225011932 | FREESHIP",,Scholastic,"1","FIXED_PRICE","USD",71.0,,,71.0,"0","","","Aug-13-25 00:37:41 PDT","Sep-13-25 00:37:41 PDT","Books","261186","","","Brand New","","","","","","US","","","9798225011932"
"357453129399","NEW BOB Books Stage 2 Emerging Reader Bundle, 9798225035495 | FREESHIP",,Scholastic,"1","FIXED_PRICE","USD",67.0,,,67.0,"0","","","Aug-13-25 00:46:12 PDT","Sep-13-25 00:46:12 PDT","Books","261186","","","Brand New","","","","","","US","","","9798225035495"
